n_threads,L_size,spins/ms,total_time
1,1024,200.91,5.22
2,1024,270.22,3.88
4,1024,465.30,2.25
8,1024,802.70,1.31
16,1024,1185.98,0.88
30,1024,1269.81,0.83
31,1024,1371.95,0.76
32,1024,1410.06,0.74
1,2048,198.22,21.16
2,2048,259.86,16.14
4,2048,504.14,8.32
8,2048,895.25,4.69
16,2048,1355.28,3.09
30,2048,1701.33,2.47
31,2048,1694.02,2.48
32,2048,1720.47,2.44
1,4096,201.44,83.29
2,4096,322.44,52.03
4,4096,543.66,30.86
8,4096,895.50,18.74
16,4096,1485.57,11.29
30,4096,2008.20,8.35
31,4096,2034.17,8.25
32,4096,2003.05,8.38
1,1024,200.24,5.24
2,1024,259.40,4.04
4,1024,471.69,2.22
8,1024,785.46,1.33
16,1024,1210.62,0.87
30,1024,1327.57,0.79
31,1024,1246.96,0.84
32,1024,1265.16,0.83
1,2048,199.07,21.07
2,2048,275.58,15.22
4,2048,510.39,8.22
8,2048,854.59,4.91
16,2048,1321.67,3.17
30,2048,258.61,16.22
31,2048,623.90,6.72
32,2048,1694.41,2.48
1,4096,202.55,82.83
2,4096,320.75,52.31
4,4096,547.70,30.63
8,4096,930.37,18.03
16,4096,1387.62,12.09
30,4096,1961.00,8.56
31,4096,2027.21,8.28
32,4096,2010.34,8.35
1,1024,200.96,5.22
2,1024,258.89,4.05
4,1024,471.25,2.23
8,1024,810.01,1.29
16,1024,1228.67,0.85
30,1024,1346.91,0.78
31,1024,1083.38,0.97
32,1024,1192.43,0.88
1,2048,197.27,21.26
2,2048,274.59,15.27
4,2048,496.54,8.45
8,2048,861.54,4.87
16,2048,1298.80,3.23
30,2048,1722.02,2.44
31,2048,1641.95,2.55
32,2048,1681.23,2.49
1,4096,201.42,83.29
2,4096,315.45,53.19
4,4096,553.06,30.34
8,4096,935.44,17.94
16,4096,1424.72,11.78
30,4096,1878.11,8.93
31,4096,1982.53,8.46
32,4096,1996.86,8.40
