# L: 64
# Minimum Temperature: 1.500000
# Maximum Temperature: 3.000000
# Temperature Step: 0.010000000000
# Equilibration Time: 5
# Measurement Time: 25
# Data Acquiring Step: 5
# Number of Points: 151
# Total Simulation Time (sec): 0.639908
# Temp	E	E^2	E^4	M	M^2	M^4
1.500000	-1.9435546875	3.7775022507	14.2709978520	0.9839843750	0.9682286263	0.9374797378
1.510000	-1.9509765625	3.8063398361	14.4886846306	0.9860351563	0.9722695827	0.9453246956
1.520000	-1.9392578125	3.7609079361	14.1472285456	0.9834960938	0.9672810078	0.9356959771
1.530000	-1.9408203125	3.7670148849	14.1938692317	0.9836914062	0.9676716328	0.9364765251
1.540000	-1.9376953125	3.7548688889	14.1021564079	0.9813476562	0.9630687237	0.9276001349
1.550000	-1.9330078125	3.7366170883	13.9637796635	0.9805664063	0.9615279675	0.9246033313
1.560000	-1.9275390625	3.7156049728	13.8086627754	0.9795898438	0.9596171856	0.9209453735
1.570000	-1.9419921875	3.7714105606	14.2246996078	0.9841796875	0.9686172485	0.9382487951
1.580000	-1.9304687500	3.7267826080	13.8900036363	0.9799804688	0.9603718281	0.9223530029
1.590000	-1.9353515625	3.7456239700	14.0302729149	0.9826171875	0.9655401230	0.9322815732
1.600000	-1.9302734375	3.7260900497	13.8857555235	0.9810546875	0.9624830246	0.9264302493
1.610000	-1.9251953125	3.7064611435	13.7391012601	0.9793945312	0.9592187405	0.9201201287
1.620000	-1.9222656250	3.6951908112	13.6556990032	0.9774414062	0.9553983212	0.9128112341
1.630000	-1.9128906250	3.6592823029	13.3922699045	0.9740234375	0.9487326622	0.9001354689
1.640000	-1.9078125000	3.6399394989	13.2519445747	0.9741210938	0.9489269733	0.9005195580
1.650000	-1.9083984375	3.6420827866	13.2661969064	0.9741210938	0.9489244938	0.9005054401
1.660000	-1.9126953125	3.6584451675	13.3848322099	0.9751953125	0.9510083199	0.9044260429
1.670000	-1.9134765625	3.6615137100	13.4084515730	0.9747070313	0.9500662327	0.9026730507
1.680000	-1.9033203125	3.6227571487	13.1262273776	0.9724609375	0.9456936836	0.8943872048
1.690000	-1.9093750000	3.6458660126	13.2945647046	0.9742187500	0.9491211891	0.9009030161
1.700000	-1.8941406250	3.5878349304	12.8735073934	0.9690429687	0.9390474796	0.8818222203
1.710000	-1.9072265625	3.6375638962	13.2326081798	0.9734375000	0.9475898743	0.8979618718
1.720000	-1.8876953125	3.5634611130	12.6992161125	0.9678710938	0.9367856503	0.8776093718
1.730000	-1.8810546875	3.5384046555	12.5208419550	0.9649414063	0.9311140537	0.8669813301
1.740000	-1.8853515625	3.5545812607	12.6354848791	0.9654296875	0.9320577621	0.8687438993
1.750000	-1.8871093750	3.5612808228	12.6841330560	0.9662109375	0.9335711479	0.8715833910
1.760000	-1.8755859375	3.5181005478	12.3809311943	0.9614257812	0.9243565083	0.8544978995
1.770000	-1.8724609375	3.5061834335	12.2943543292	0.9621093750	0.9256626129	0.8568815325
1.780000	-1.8765625000	3.5216938019	12.4052704337	0.9633789062	0.9281238079	0.8615068571
1.790000	-1.8619140625	3.4669786453	12.0234402930	0.9580078125	0.9178182602	0.8425336152
1.800000	-1.8626953125	3.4699502945	12.0449552020	0.9582031250	0.9181853294	0.8431824428
1.810000	-1.8583984375	3.4539785385	11.9346192745	0.9579101562	0.9176360607	0.8422183301
1.820000	-1.8619140625	3.4669794083	12.0235144725	0.9568359375	0.9155731201	0.8384134886
1.830000	-1.8453125000	3.4057327271	11.6064832936	0.9540039062	0.9101897717	0.8286855535
1.840000	-1.8363281250	3.3724075317	11.3772682868	0.9499023438	0.9023496151	0.8143617294
1.850000	-1.8367187500	3.3735980988	11.3820004763	0.9472656250	0.8973195076	0.8052085478
1.860000	-1.8253906250	3.3321807861	11.1051706165	0.9439453125	0.8910587311	0.7940784227
1.870000	-1.8136718750	3.2897026062	10.8260452744	0.9402343750	0.8840831757	0.7817536994
1.880000	-1.8177734375	3.3045309067	10.9229934166	0.9397460937	0.8832270145	0.7804575432
1.890000	-1.8181640625	3.3059083939	10.9315234114	0.9418945312	0.8871824741	0.7871539545
1.900000	-1.8101562500	3.2769260406	10.7416682391	0.9372070313	0.8783816814	0.7716411055
1.910000	-1.7941406250	3.2189868927	10.3624713111	0.9342773438	0.8728797436	0.7619384954
1.920000	-1.7978515625	3.2326181412	10.4542668504	0.9331054688	0.8707355022	0.7583523596
1.930000	-1.7949218750	3.2218486786	10.3816499090	0.9336914063	0.8718091488	0.7601549021
1.940000	-1.7816406250	3.1745521545	10.0816904555	0.9247070312	0.8551564693	0.7315453309
1.950000	-1.7894531250	3.2026340485	10.2631394760	0.9291015625	0.8633170128	0.7456177998
1.960000	-1.7830078125	3.1791860580	10.1081012346	0.9278320313	0.8608950138	0.7412184047
1.970000	-1.7757812500	3.1535465240	9.9467278439	0.9270507812	0.8594447613	0.7387198494
1.980000	-1.7468750000	3.0518367767	9.3169479484	0.9149414062	0.8371503353	0.7009297329
1.990000	-1.7431640625	3.0392660141	9.2450090075	0.9122070313	0.8321963787	0.6928002438
2.000000	-1.7519531250	3.0701377869	9.4354619133	0.9143554687	0.8361955166	0.6997210618
2.010000	-1.7375000000	3.0196163177	9.1265782990	0.9097656250	0.8278082848	0.6857098576
2.020000	-1.7384765625	3.0227811813	9.1430256839	0.9088867188	0.8262446880	0.6832347370
2.030000	-1.7378906250	3.0204372406	9.1251502530	0.9010742188	0.8119702816	0.6594120978
2.040000	-1.7060546875	2.9111597061	8.4810875315	0.8860351562	0.7850657940	0.6163518458
2.050000	-1.7025390625	2.9003202438	8.4312265188	0.8885742187	0.7898328304	0.6246826510
2.060000	-1.6976562500	2.8828506470	8.3202234048	0.8916992188	0.7952841282	0.6329750208
2.070000	-1.6605468750	2.7580547333	7.6139061068	0.8637695312	0.7463654041	0.5578579831
2.080000	-1.6750000000	2.8061172485	7.8797676356	0.8732421875	0.7627314568	0.5822949444
2.090000	-1.6914062500	2.8611019135	8.1886903414	0.8821289062	0.7782659054	0.6060547621
2.100000	-1.6517578125	2.7286996841	7.4500647252	0.8624023438	0.7438295841	0.5535555502
2.110000	-1.6679687500	2.7835426331	7.7638029265	0.8687500000	0.7555467606	0.5732822288
2.120000	-1.6562500000	2.7443759918	7.5451530650	0.8630859375	0.7454800606	0.5574092887
2.130000	-1.5914062500	2.5330833435	6.4217042778	0.8112304688	0.6582454205	0.4336837766
2.140000	-1.6484375000	2.7180221558	7.3949314048	0.8656250000	0.7497838020	0.5635956220
2.150000	-1.6589843750	2.7524734497	7.5788098917	0.8717773438	0.7600245953	0.5777244053
2.160000	-1.6027343750	2.5700572968	6.6185507426	0.8459960937	0.7161225796	0.5140116954
2.170000	-1.5890625000	2.5273391724	6.4097888939	0.8226562500	0.6773845673	0.4605648334
2.180000	-1.5517578125	2.4082204819	5.8021056087	0.7927734375	0.6286490440	0.3955923019
2.190000	-1.5535156250	2.4141216278	5.8347993861	0.7737304687	0.5990840435	0.3599175419
2.200000	-1.5191406250	2.3080699921	5.3298018128	0.7273437500	0.5297056198	0.2820135595
2.210000	-1.5429687500	2.3834827423	5.7072848506	0.7907226563	0.6267874241	0.3967684641
2.220000	-1.5544921875	2.4167181015	5.8431355854	0.7718750000	0.5965830803	0.3577972488
2.230000	-1.4746093750	2.1754005432	4.7404949038	0.6711914062	0.4507909298	0.2037268569
2.240000	-1.5109375000	2.2837337494	5.2228112035	0.7611328125	0.5797633171	0.3371087435
