===== Results for clang, L=512, -O0 =====
===== Program output =====
# L: 512
# Minimum Temperature: 1.500000
# Maximum Temperature: 3.000000
# Temperature Step: 0.010000000000
# Equilibration Time: 5
# Measurement Time: 25
# Data Acquiring Step: 5
# Number of Points: 151
# Total Simulation Time (sec): 20.230857
# Temp	E	E^2	E^4	M	M^2	M^4
1.500000	-1.9511688232	3.8070613875	14.4937409354	0.9865127563	0.9732075459	0.9471334237
1.510000	-1.9500946045	3.8028692228	14.4618182260	0.9862655640	0.9727197806	0.9461838412
1.520000	-1.9473876953	3.7923201357	14.3817117337	0.9854461670	0.9711042428	0.9430438183
1.530000	-1.9450042725	3.7830428645	14.3114321534	0.9846389771	0.9695140523	0.9399580299
1.540000	-1.9426177979	3.7737655444	14.2413310844	0.9840515137	0.9683575476	0.9377169831
1.550000	-1.9406036377	3.7659431638	14.1823382392	0.9832901001	0.9668594714	0.9348174324
1.560000	-1.9391265869	3.7602126989	14.1392112535	0.9829010010	0.9660944687	0.9333388742
1.570000	-1.9360565186	3.7483159951	14.0498900669	0.9820144653	0.9643525339	0.9299762869
1.580000	-1.9334808350	3.7383489908	13.9752659138	0.9811813354	0.9627168915	0.9268241152
1.590000	-1.9302886963	3.7260171094	13.8832431225	0.9800918579	0.9605802794	0.9227153549
1.600000	-1.9284576416	3.7189506812	13.8306210355	0.9797393799	0.9598893652	0.9213880265
1.610000	-1.9245849609	3.7040280993	13.7198364247	0.9784103394	0.9572868850	0.9163985355
1.620000	-1.9225494385	3.6961976727	13.6618968923	0.9778091431	0.9561108433	0.9141484150
1.630000	-1.9211059570	3.6906484827	13.6208919005	0.9774826050	0.9554724034	0.9129281267
1.640000	-1.9162597656	3.6720535222	13.4840069428	0.9759246826	0.9524292300	0.9071223672
1.650000	-1.9136962891	3.6622341591	13.4119688873	0.9749984741	0.9506221060	0.9036826980
1.660000	-1.9115020752	3.6538442406	13.3506369769	0.9745040894	0.9496586596	0.9018532385
1.670000	-1.9091583252	3.6448896718	13.2852813409	0.9735946655	0.9478869457	0.8984910754
1.680000	-1.9053863525	3.6305007191	13.1805872620	0.9726318359	0.9460129746	0.8949416319
1.690000	-1.8999176025	3.6096874790	13.0298521115	0.9704513550	0.9417759561	0.8869424174
1.700000	-1.8993225098	3.6074321500	13.0136555774	0.9704421997	0.9417588812	0.8869128752
1.710000	-1.8937622070	3.5863396938	12.8618954231	0.9685440063	0.9380781961	0.8799933406
1.720000	-1.8907836914	3.5750660329	12.7811409754	0.9676773071	0.9363995849	0.8768449849
1.730000	-1.8875610352	3.5628884274	12.6941991304	0.9666580200	0.9344279314	0.8731563205
1.740000	-1.8838348389	3.5488363593	12.5942772861	0.9651214600	0.9314596802	0.8676180590
1.750000	-1.8790954590	3.5310015850	12.4679981994	0.9636886597	0.9286961672	0.8624778132
1.760000	-1.8763061523	3.5205266842	12.3941349815	0.9627014160	0.9267944805	0.8589497290
1.770000	-1.8716033936	3.5029016017	12.2703523956	0.9610183716	0.9235566292	0.8529580246
1.780000	-1.8674194336	3.4872586274	12.1610185956	0.9597045898	0.9210332883	0.8483037500
1.790000	-1.8631805420	3.4714477486	12.0510331648	0.9582931519	0.9183266124	0.8433268836
1.800000	-1.8581817627	3.4528453242	11.9222218233	0.9563568115	0.9146193882	0.8365324211
1.810000	-1.8529388428	3.4333834207	11.7881363577	0.9545974731	0.9112565050	0.8303890353
1.820000	-1.8495208740	3.4207353012	11.7015372856	0.9533782959	0.9089309632	0.8261583614
1.830000	-1.8475799561	3.4135532824	11.6523677016	0.9526840210	0.9076070255	0.8237511719
1.840000	-1.8392913818	3.3829970016	11.4447257005	0.9492706299	0.9011155830	0.8120123709
1.850000	-1.8365173340	3.3728140633	11.3761193876	0.9485168457	0.8996858966	0.8094407929
1.860000	-1.8307037354	3.3514763931	11.2323970503	0.9469024658	0.8966246595	0.8039371407
1.870000	-1.8279724121	3.3414925407	11.1656978483	0.9456741333	0.8943008859	0.7997787904
1.880000	-1.8216949463	3.3185756532	11.0129865516	0.9434051514	0.8900140743	0.7921278825
1.890000	-1.8156890869	3.2967303702	10.8684774661	0.9411163330	0.8857004159	0.7844668694
1.900000	-1.8116882324	3.2822255463	10.7731529381	0.9392776489	0.8822446426	0.7783631658
1.910000	-1.8050140381	3.2580934263	10.6154036492	0.9365219116	0.8770774233	0.7692792698
1.920000	-1.7973693848	3.2305388506	10.4364090168	0.9338211060	0.8720220736	0.7604232492
1.930000	-1.7921234131	3.2117091262	10.3151114358	0.9318939209	0.8684265895	0.7541658167
1.940000	-1.7902069092	3.2048518351	10.2712169011	0.9306503296	0.8661130288	0.7501621466
1.950000	-1.7797454834	3.1675045034	10.0332179958	0.9264602661	0.8583302816	0.7367365663
1.960000	-1.7733551025	3.1448020114	9.8899519361	0.9235534668	0.8529532362	0.7275368352
1.970000	-1.7666625977	3.1211011253	9.7413270616	0.9195541382	0.8455804467	0.7150084336
1.980000	-1.7610382080	3.1012691581	9.6180392257	0.9176437378	0.8420718104	0.7090909356
1.990000	-1.7532562256	3.0739152378	9.4490514194	0.9145111084	0.8363315175	0.6994535866
2.000000	-1.7475280762	3.0538600243	9.3261300654	0.9129074097	0.8334026363	0.6945689265
2.010000	-1.7373382568	3.0183511031	9.1105265440	0.9075531006	0.8236536542	0.6784087166
2.020000	-1.7298126221	2.9922576000	8.9536760258	0.9041488647	0.8174858447	0.6682853148
2.030000	-1.7228424072	2.9681931940	8.8102567398	0.9006164551	0.8111127169	0.6579126708
2.040000	-1.7161376953	2.9451320893	8.6738442455	0.8972381592	0.8050377500	0.6480904037
2.050000	-1.7066131592	2.9125345053	8.4829274972	0.8924774170	0.7965168816	0.6344421424
2.060000	-1.6982452393	2.8840417664	8.3177531712	0.8889205933	0.7901809777	0.6243896351
2.070000	-1.6919616699	2.8627377040	8.1953062002	0.8851974487	0.7835749406	0.6139909952
2.080000	-1.6797149658	2.8214509720	7.9606827241	0.8787429810	0.7721935521	0.5962962380
2.090000	-1.6724609375	2.7971402448	7.8241574903	0.8754180908	0.7663639982	0.5873357257
2.100000	-1.6641632080	2.7694535436	7.6700316751	0.8713073730	0.7591845957	0.5763856750
2.110000	-1.6539062500	2.7354337703	7.4829034424	0.8657028198	0.7494484847	0.5616943519
2.120000	-1.6441314697	2.7031769976	7.3072599240	0.8585189819	0.7370584472	0.5432657779
2.130000	-1.6310394287	2.6603019317	7.0773373099	0.8494201660	0.7215174287	0.5205954955
2.140000	-1.6241455078	2.6378516592	6.9582933309	0.8456909180	0.7151951724	0.5115099795
2.150000	-1.6097015381	2.5911695919	6.7144766886	0.8379119873	0.7021050388	0.4929754237
2.160000	-1.6011047363	2.5635478492	6.5718955116	0.8330871582	0.6940434898	0.4817222070
2.170000	-1.5824981689	2.5043088363	6.2716467260	0.8154129028	0.6649099946	0.4421367746
2.180000	-1.5747314453	2.4798166133	6.1498626635	0.8129364014	0.6608891418	0.4368367222
2.190000	-1.5642791748	2.4469811636	5.9878322598	0.8054916382	0.6488345282	0.4210322352
2.200000	-1.5538238525	2.4144121903	5.8298074218	0.7974044800	0.6358682537	0.4043649511
2.210000	-1.5352325439	2.3569819989	5.5557704534	0.7808044434	0.6096879159	0.3717980847
2.220000	-1.5259399414	2.3285079654	5.4220918564	0.7742919922	0.5995464188	0.3594998659
2.230000	-1.5111907959	2.2837179973	5.2155540242	0.7615051270	0.5799037364	0.3363199790
2.240000	-1.4962493896	2.2387803492	5.0122994026	0.7469268799	0.5579263580	0.3113408402
2.250000	-1.4765533447	2.1802184069	4.7534275021	0.7196411133	0.5178912914	0.2682278415
2.260000	-1.4599212646	2.1313913793	4.5430105683	0.7057495117	0.4981212072	0.2482021835
2.270000	-1.4424652100	2.0807263464	4.3295925758	0.6901046753	0.4762598650	0.2268527291
