===== Results for gcc, L=128, -O1 =====
===== Program output =====
# L: 128
# Minimum Temperature: 1.500000
# Maximum Temperature: 3.000000
# Temperature Step: 0.010000000000
# Equilibration Time: 5
# Measurement Time: 25
# Data Acquiring Step: 5
# Number of Points: 151
# Total Simulation Time (sec): 0.711506
# Temp	E	E^2	E^4	M	M^2	M^4
1.500000	-1.9502441406	3.8034752250	14.4667739080	0.9864013672	0.9729892939	0.9467145368
1.510000	-1.9477539062	3.7937704086	14.3930743562	0.9855712891	0.9713530809	0.9435357913
1.520000	-1.9463867187	3.7884322882	14.3523865233	0.9850830078	0.9703898460	0.9416615547
1.530000	-1.9437988281	3.7783691287	14.2763037443	0.9845214844	0.9692838371	0.9395161343
1.540000	-1.9435546875	3.7774061918	14.2688182136	0.9840820313	0.9684177637	0.9378342020
1.550000	-1.9414550781	3.7692848325	14.2080666147	0.9836669922	0.9676034123	0.9362666668
1.560000	-1.9423828125	3.7728687763	14.2348069363	0.9839599609	0.9681790441	0.9373777808
1.570000	-1.9363281250	3.7493815660	14.0580863696	0.9822753906	0.9648667753	0.9309749611
1.580000	-1.9329101562	3.7361663103	13.9593073198	0.9808105469	0.9619924247	0.9254413458
1.590000	-1.9293945313	3.7225785255	13.8578178826	0.9798828125	0.9601724625	0.9219393544
1.600000	-1.9287597656	3.7201395154	13.8398138201	0.9798583984	0.9601239353	0.9218435540
1.610000	-1.9275390625	3.7154498100	13.8052052067	0.9795654297	0.9595519274	0.9207533110
1.620000	-1.9206542969	3.6889492393	13.6088844850	0.9772460938	0.9550149024	0.9120725214
1.630000	-1.9171875000	3.6756446838	13.5109038892	0.9756591797	0.9519161314	0.9061645060
1.640000	-1.9127929688	3.6587990046	13.3871336724	0.9751953125	0.9510083497	0.9044262186
1.650000	-1.9124511719	3.6574733377	13.3771675674	0.9749511719	0.9505309582	0.9035135489
1.660000	-1.9111816406	3.6526309609	13.3419424243	0.9742187500	0.9491035402	0.9008027206
1.670000	-1.9069335938	3.6364784956	13.2251790120	0.9729736328	0.9466884583	0.8962597817
1.680000	-1.9030761719	3.6217346311	13.1174774813	0.9717285156	0.9442629278	0.8916574558
1.690000	-1.8983886719	3.6038977981	12.9883428289	0.9705566406	0.9419839561	0.8873479622
